,Code,Name,Industry,Main_product,부채비율,시가총액(억),종가,PER_EPS,PBR_BPS,Return_rate(PER),Return_rate(PBR),ROE_20,ROE_19,roe_past_2,roe_past_3
111,010120,엘에스일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공",6,14925,49750.0,58364.74,60203.93,17.32,21.01,8.06,7.82,10.78,9.51
112,139480,이마트,종합 소매업,대형마트,6,30385,109000.0,126865.16,202094.56,16.39,85.41,3.18,2.75,5.49,7.73
113,086980,쇼박스,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화투자및배급,6,1706,2725.0,3166.06,0.0,16.19,-100.0,3.5,2.32,3.11,11.95
114,005850,에스엘,자동차 신품 부품 제조업,"자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조",6,5423,11250.0,13065.86,15937.44,16.14,41.67,4.92,7.25,2.51,9.86
115,089030,테크윙,특수 목적용 기계 제조업,"반도체테스트핸들러,C.O.K(Change Over Kit)",5,3729,19300.0,22374.83,19185.39,15.93,-0.59,16.98,6.41,12.77,29.18
116,063160,종근당바이오,의약품 제조업,"의약품,원료의약품 제조",6,2255,41100.0,47232.45,31355.6,14.92,-23.71,10.52,8.01,5.49,5.78
117,090350,노루페인트,기타 화학제품 제조업,페인트 제조,6,1440,7200.0,8167.99,9682.44,13.44,34.48,4.88,6.0,4.2,10.23
118,002790,아모레퍼시픽그룹,기타 화학제품 제조업,지주회사,6,42054,51000.0,57671.93,115652.61,13.08,126.77,2.84,4.12,4.65,6.95
119,241710,코스메카코리아,기타 화학제품 제조업,"화장품 OEM, ODM",5,1271,11900.0,13333.8,22171.93,12.05,86.32,4.66,3.85,7.53,9.1
120,214150,클래시스,의료용 기기 제조업,미용의료기기,6,9803,15150.0,16962.5,23270.83,11.96,53.6,40.33,48.06,34.51,-19.95
121,069510,에스텍,영상 및 음향기기 제조업,스피커 및 스피커시스템,6,974,8930.0,9960.32,13068.2,11.54,46.34,8.21,11.74,15.15,7.97
122,263700,케어랩스,소프트웨어 개발 및 공급업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션",6,1744,20750.0,22895.93,0.0,10.34,-100.0,7.39,0.96,8.54,28.27
123,067900,와이엔텍,폐기물 처리업,"사업장폐기물중간및최종처리,전문건설,골재제조",6,2229,12250.0,13352.43,8015.28,9.0,-34.57,17.35,14.66,8.06,11.3
124,051900,LG생활건강,기타 화학제품 제조업,"화장품,생활용품 제조,도매",6,202256,1295000.0,1406616.0,1682326.56,8.62,29.91,17.86,20.32,20.98,21.94
125,069960,현대백화점,종합 소매업,백화점,6,13737,58700.0,63731.36,107777.09,8.57,83.61,3.52,4.64,5.91,6.63
126,018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",6,138506,179000.0,193584.38,239182.49,8.15,33.62,7.93,11.76,10.91,9.91
